seg_uid,seg_id,road_name,length_m
DM-193025-283765-367J,DM00920,동명로14번길,66.0
DM-193028-284127-DX27,DM03306,동계로13번길,67.9
DM-193029-284261-F0LS,DM03327,경양로305번길,17.0
DM-193030-283825-N84A,DM00901,동명로20번길,19.1
DM-193031-284044-D27G,DM00843,동계로9번길,35.6
DM-193032-283892-YM7N,DM00807,동명로25번길,41.1
DM-193035-284167-5UT1,DM02860,동계로15번길,42.6
DM-193036-283856-6Z8Q,DM00885,동명로,62.9
DM-193037-284000-SZY4,DM00830,동계로1번길,82.2
DM-193041-284263-F0LS,DM03328,경양로305번길,34.9
DM-193042-284146-5UT1,DM02863,동계로15번길,73.5
DM-193044-283584-GO22,DM00983,장동로,17.7
DM-193045-283956-SZY4,DM00827,동계로1번길,26.5
DM-193045-284273-B7J3,DM00961,경양로321번길,56.6
